"","gender","SeniorCitizen","Partner","Dependents","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges","tenure_group","Churn"
"1","Female","No","Yes","No","No","No","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",29.85,29.85,"0-12 Month","No"
"2","Male","No","No","No","Yes","No","DSL","Yes","No","Yes","No","No","No","One year","No","Mailed check",56.95,1889.5,"24-48 Month","No"
"3","Male","No","No","No","Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","Yes","Mailed check",53.85,108.15,"0-12 Month","Yes"
"4","Male","No","No","No","No","No","DSL","Yes","No","Yes","Yes","No","No","One year","No","Bank transfer (automatic)",42.3,1840.75,"24-48 Month","No"
"5","Female","No","No","No","Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",70.7,151.65,"0-12 Month","Yes"
"6","Female","No","No","No","Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",99.65,820.5,"0-12 Month","Yes"
"7","Male","No","No","Yes","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Credit card (automatic)",89.1,1949.4,"12-24 Month","No"
"8","Female","No","No","No","No","No","DSL","Yes","No","No","No","No","No","Month-to-month","No","Mailed check",29.75,301.9,"0-12 Month","No"
"9","Female","No","Yes","No","Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",104.8,3046.05,"24-48 Month","Yes"
"10","Male","No","No","Yes","Yes","No","DSL","Yes","Yes","No","No","No","No","One year","No","Bank transfer (automatic)",56.15,3487.95,"> 60 Month","No"
"11","Male","No","Yes","Yes","Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","Yes","Mailed check",49.95,587.45,"12-24 Month","No"
"12","Male","No","No","No","Yes","No","No","No","No","No","No","No","No","Two year","No","Credit card (automatic)",18.95,326.8,"12-24 Month","No"
"13","Male","No","Yes","No","Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","One year","No","Credit card (automatic)",100.35,5681.1,"48-60 Month","No"
"14","Male","No","No","No","Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",103.7,5036.3,"48-60 Month","Yes"
"15","Male","No","No","No","Yes","No","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",105.5,2686.05,"24-48 Month","No"
"16","Female","No","Yes","Yes","Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",113.25,7895.15,"> 60 Month","No"
"17","Female","No","No","No","Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",20.65,1022.95,"48-60 Month","No"
"18","Male","No","No","Yes","Yes","Yes","Fiber optic","Yes","No","Yes","No","Yes","Yes","Two year","No","Bank transfer (automatic)",106.7,7382.25,"> 60 Month","No"
"19","Female","No","Yes","Yes","Yes","No","DSL","No","No","Yes","Yes","No","No","Month-to-month","No","Credit card (automatic)",55.2,528.35,"0-12 Month","Yes"
"20","Female","No","No","No","Yes","No","Fiber optic","No","Yes","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",90.05,1862.9,"12-24 Month","No"
"21","Male","Yes","No","No","No","No","DSL","No","No","Yes","No","No","Yes","Month-to-month","Yes","Electronic check",39.65,39.65,"0-12 Month","Yes"
"22","Male","No","Yes","No","Yes","No","No","No","No","No","No","No","No","One year","No","Bank transfer (automatic)",19.8,202.25,"0-12 Month","No"
"23","Male","No","No","No","Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Mailed check",20.15,20.15,"0-12 Month","Yes"
"24","Female","No","Yes","No","Yes","Yes","DSL","No","Yes","No","Yes","No","No","Two year","Yes","Credit card (automatic)",59.9,3505.1,"48-60 Month","No"
"25","Male","No","Yes","Yes","Yes","No","DSL","Yes","Yes","No","Yes","No","No","Month-to-month","No","Credit card (automatic)",59.6,2970.3,"48-60 Month","No"
"26","Female","No","No","No","Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",55.3,1530.6,"24-48 Month","No"
"27","Male","No","Yes","Yes","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",99.35,4749.15,"24-48 Month","Yes"
"28","Male","No","Yes","Yes","No","No","DSL","No","Yes","No","No","No","No","Month-to-month","No","Electronic check",30.2,30.2,"0-12 Month","Yes"
"29","Male","No","Yes","No","Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",90.25,6369.45,"> 60 Month","No"
"30","Female","No","No","Yes","Yes","No","DSL","No","No","No","No","Yes","Yes","Month-to-month","Yes","Mailed check",64.7,1093.1,"12-24 Month","Yes"
"31","Female","Yes","Yes","No","Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","No","No","Two year","Yes","Credit card (automatic)",96.35,6766.95,"> 60 Month","No"
"32","Male","Yes","Yes","No","Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",95.5,181.65,"0-12 Month","No"
"33","Female","No","Yes","Yes","Yes","No","DSL","Yes","Yes","Yes","Yes","No","No","One year","No","Mailed check",66.15,1874.45,"24-48 Month","No"
"34","Male","No","No","No","Yes","No","No","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",20.2,20.2,"0-12 Month","No"
"35","Male","Yes","No","No","Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",45.25,45.25,"0-12 Month","No"
"36","Female","No","Yes","Yes","Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Yes","No","Two year","No","Bank transfer (automatic)",99.9,7251.7,"> 60 Month","No"
"37","Male","No","No","No","Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",69.7,316.9,"0-12 Month","Yes"
"38","Female","No","No","No","Yes","No","Fiber optic","No","No","Yes","No","No","No","Month-to-month","Yes","Credit card (automatic)",74.8,3548.3,"24-48 Month","No"
"39","Male","No","No","No","Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",106.35,3549.25,"24-48 Month","Yes"
"40","Female","No","No","No","Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",97.85,1105.4,"0-12 Month","Yes"
"41","Male","No","Yes","Yes","Yes","No","DSL","No","Yes","No","No","No","No","One year","No","Mailed check",49.55,475.7,"0-12 Month","No"
"42","Female","No","Yes","Yes","Yes","Yes","DSL","Yes","Yes","No","No","Yes","No","Two year","Yes","Credit card (automatic)",69.2,4872.35,"> 60 Month","No"
"43","Female","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","One year","No","Mailed check",20.75,418.25,"12-24 Month","No"
"44","Female","No","No","No","Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","No","Two year","Yes","Credit card (automatic)",79.85,4861.45,"> 60 Month","No"
"45","Female","No","Yes","No","Yes","Yes","DSL","Yes","Yes","No","Yes","Yes","No","Month-to-month","Yes","Electronic check",76.2,981.45,"12-24 Month","No"
"46","Female","No","No","No","Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Electronic check",84.5,3906.7,"48-60 Month","No"
"47","Male","No","No","No","Yes","No","DSL","No","Yes","No","No","No","No","Month-to-month","No","Mailed check",49.25,97,"0-12 Month","No"
"48","Female","No","No","No","Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",80.65,144.15,"0-12 Month","Yes"
"49","Male","No","No","No","Yes","Yes","DSL","Yes","No","No","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",79.75,4217.8,"48-60 Month","No"
"50","Female","No","Yes","Yes","Yes","Yes","DSL","Yes","No","Yes","Yes","No","No","Two year","Yes","Credit card (automatic)",64.15,4254.1,"> 60 Month","No"
"51","Female","Yes","No","No","Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Electronic check",90.25,3838.75,"24-48 Month","No"
